race,boat,n,kind,wind,min,sog,vmg,twa,eff,svmg,ssog,stwa,keep,extra,tacks,gybes,tloss_m,tloss_s,gloss_m,gloss_s,loss_m,loss_s,tdip,gdip
2,Mag,2,run,321,16.2,12.11,8.85,134.9,0.731,9.07,12.42,134.3,0.908,1620,0,3,,,34.6,7.4,104,22,,6.97
2,Mag,3,beat,313,27.2,5.64,4.37,38.2,0.774,4.4,5.66,38.2,0.938,998,4,0,4.6,2.0,,,18,8,3.9,
2,Mag,4,run,313,14.3,12.3,9.02,137.1,0.733,9.07,12.45,136.2,0.896,1430,0,3,,,4.6,1.0,14,3,,6.77
2,Mike's Vakaros,1,beat,314,34.7,5.75,4.34,40.0,0.754,4.38,5.77,39.6,0.927,1494,6,0,6.8,3.0,,,41,18,4.07,
2,Mike's Vakaros,2,run,321,16.5,11.88,8.7,136.0,0.733,8.91,12.13,136.2,0.884,1594,1,3,96.8,21.1,-0.8,-0.2,94,20,6.3,7.33
2,Mike's Vakaros,3,beat,313,28.0,5.72,4.2,41.3,0.734,4.27,5.79,41.2,0.882,1218,8,0,5.9,2.7,,,47,22,4.46,
2,Mike's Vakaros,4,run,313,17.4,10.03,7.44,139.5,0.741,7.48,10.31,136.9,0.871,1377,1,4,-0.2,-0.1,2.8,0.7,11,3,3.7,6.92
2,Moore DRV,1,beat,314,35.9,5.69,4.23,40.9,0.744,4.31,5.75,40.6,0.916,1601,8,0,12.9,5.8,,,103,47,4.39,
2,Moore DRV,2,run,321,16.2,11.59,8.86,139.0,0.764,9.18,11.98,138.8,0.908,1363,0,3,,,51.5,10.9,154,33,,7.77
2,Moore DRV,3,beat,313,29.7,5.5,3.97,43.0,0.721,3.97,5.52,43.2,0.958,1353,3,0,-0.4,-0.2,,,-1,0,3.13,
2,Moore DRV,4,run,313,14.6,11.23,8.89,143.9,0.792,9.15,11.71,142.0,0.863,1037,0,4,,,26.8,5.7,107,23,,6.28
2,NJK,1,beat,314,34.6,5.69,4.28,40.5,0.752,4.32,5.71,40.3,0.904,1358,8,0,4.1,1.8,,,32,15,3.59,
2,NJK,2,run,321,16.9,12.04,8.47,133.3,0.703,8.67,12.29,133.5,0.888,1840,1,3,101.8,22.8,-2.7,-0.6,94,21,8.2,7.13
2,NJK,3,beat,313,27.6,5.72,4.26,41.1,0.746,4.36,5.79,40.5,0.818,1152,12,0,5.8,2.6,,,70,31,3.69,
2,NJK,4,run,313,14.1,12.1,8.9,136.8,0.736,8.95,12.24,136.1,0.893,1376,0,3,,,4.2,0.9,13,3,,8.13
2,Nautique,1,beat,314,33.4,5.8,4.43,39.3,0.763,4.45,5.82,39.3,0.948,1289,4,0,2.9,1.3,,,12,5,3.77,
2,Nautique,2,run,321,16.8,11.95,8.59,135.1,0.719,8.84,12.22,135.9,0.924,1725,1,2,74.4,16.4,24.1,5.3,123,27,7.8,5.3
2,Nautique,3,beat,313,27.5,5.73,4.34,40.0,0.758,4.35,5.74,40.0,0.925,1124,5,0,1.0,0.4,,,5,2,3.12,
2,Nautique,4,run,313,16.3,11.14,7.99,136.5,0.717,8.04,11.31,135.7,0.908,1572,0,3,,,6.8,1.7,20,5,,7.63
2,Patakin 3,1,beat,314,33.9,5.61,4.34,38.5,0.774,4.35,5.63,38.7,0.926,1170,6,0,0.2,0.1,,,1,1,3.3,
2,Patakin 3,2,run,321,16.7,11.65,8.63,136.2,0.741,9.08,12.16,137.3,0.858,1541,5,2,77.9,16.7,-15.0,-3.2,360,77,5.8,6.75
2,Patakin 3,3,beat,313,27.2,5.8,4.4,40.0,0.759,4.42,5.83,40.2,0.924,1111,5,0,2.0,0.9,,,10,4,3.58,
2,Patakin 3,4,run,313,15.2,11.55,8.28,136.2,0.717,8.27,11.64,135.3,0.901,1507,0,3,,,-3.8,-0.9,-11,-3,,7.63
2,Phantom7,1,beat,314,35.0,5.77,4.35,39.9,0.754,4.4,5.81,39.8,0.928,1496,6,0,6.4,2.8,,,38,17,4.38,
2,Phantom7,2,run,321,16.5,12.1,8.64,134.4,0.714,9.06,12.55,135.3,0.884,1726,1,3,94.7,20.3,37.3,8.0,207,44,5.6,8.33
2,Phantom7,3,beat,313,27.3,5.82,4.39,39.9,0.754,4.44,5.84,39.5,0.908,1169,6,0,6.0,2.6,,,36,16,3.8,
2,Phantom7,4,run,313,13.8,12.3,9.28,139.4,0.755,9.55,12.62,139.3,0.892,1261,0,3,,,35.4,7.2,106,22,,7.27
2,RO,1,beat,314,34.0,5.85,4.39,40.3,0.752,4.41,5.88,40.4,0.928,1394,6,0,3.0,1.3,,,18,8,4.85,
2,RO,2,run,321,17.0,11.97,8.53,134.4,0.712,8.56,12.1,133.6,0.912,1793,0,3,,,5.3,1.2,16,4,,8.7
2,RO,3,beat,313,28.4,5.83,4.27,41.9,0.733,4.29,5.86,42.0,0.927,1347,5,0,3.0,1.4,,,15,7,4.1,
2,RO,4,run,313,16.0,11.58,8.02,133.3,0.693,8.01,11.77,131.7,0.844,1757,0,5,,,-1.4,-0.3,-7,-2,,7.86
2,Sassy,1,beat,314,35.1,5.72,4.29,40.6,0.75,4.36,5.8,40.4,0.861,1485,12,0,5.5,2.5,,,66,30,4.07,
2,Sassy,2,run,321,16.5,11.89,8.73,135.9,0.734,9.14,12.28,137.3,0.919,1597,2,1,96.1,20.4,12.4,2.6,204,43,5.75,6.6
2,Sassy,3,beat,313,28.8,5.68,4.16,42.3,0.732,4.21,5.7,42.0,0.906,1293,7,0,4.8,2.2,,,34,16,3.57,
2,Sassy,4,run,313,14.7,11.56,8.64,138.3,0.748,8.75,11.74,137.7,0.899,1302,0,3,,,14.2,3.2,43,10,,6.43
2,Sardonyx,1,beat,314,35.1,5.74,4.32,39.9,0.753,4.42,5.81,39.5,0.881,1537,10,0,9.6,4.2,,,96,42,4.2,
2,Sardonyx,2,run,321,16.9,12.02,8.48,134.2,0.706,8.62,12.25,134.1,0.886,1824,1,3,88.2,19.9,-8.1,-1.8,64,14,4.5,8.57
2,Sardonyx,3,beat,313,28.7,5.76,4.13,43.1,0.717,4.19,5.82,43.0,0.883,1380,8,0,6.0,2.8,,,48,22,4.03,
2,Sardonyx,4,run,313,13.8,12.3,9.25,138.9,0.753,9.58,12.72,138.4,0.839,1282,1,4,76.6,15.6,12.7,2.6,127,26,4.1,7.67
2,TUR 442,1,beat,314,34.3,5.71,4.29,40.6,0.75,4.33,5.75,40.4,0.927,1338,6,0,6.4,2.9,,,38,17,4.25,
2,TUR 442,2,run,321,17.2,11.84,8.39,135.0,0.708,8.42,12.02,133.8,0.914,1828,0,3,,,4.5,1.1,14,3,,6.47
2,TUR 442,3,beat,313,29.1,5.65,4.15,41.9,0.735,4.19,5.66,41.6,0.947,1296,4,0,8.0,3.7,,,32,15,4.1,
2,TUR 442,4,run,313,14.1,12.18,9.09,138.0,0.746,9.17,12.29,137.8,0.928,1325,0,2,,,15.8,3.4,32,7,,6.65
2,TYRA,1,beat,314,33.5,5.77,4.43,39.1,0.767,4.45,5.79,39.1,0.925,1246,6,0,2.5,1.1,,,15,7,3.92,
2,TYRA,2,run,321,17.3,11.7,8.3,134.8,0.71,8.51,12.01,134.4,0.861,1812,1,4,82.1,18.7,4.3,1.0,99,23,7.2,7.53
2,TYRA,3,beat,313,27.9,5.75,4.27,41.1,0.743,4.29,5.78,41.3,0.928,1215,5,0,1.3,0.6,,,6,3,3.06,
2,TYRA,4,run,313,14.9,12.04,8.6,135.6,0.714,8.67,12.2,135.0,0.897,1557,0,3,,,7.8,1.7,23,5,,7.17
2,To Nessa,1,beat,314,34.3,5.67,4.29,39.8,0.756,4.33,5.71,39.8,0.927,1322,6,0,5.3,2.4,,,32,14,3.93,
2,To Nessa,2,run,321,16.7,12.11,8.6,134.5,0.71,8.79,12.39,134.3,0.885,1787,1,3,89.6,19.8,-0.1,-0.0,89,20,3.7,8.33
2,To Nessa,3,beat,313,27.4,5.75,4.33,40.4,0.752,4.36,5.78,40.4,0.91,1123,6,0,3.5,1.5,,,21,9,3.43,
2,To Nessa,4,run,313,14.5,12.13,8.73,136.2,0.719,8.79,12.32,135.2,0.881,1510,0,4,,,4.6,1.0,18,4,,7.28
2,V-Tarte,1,beat,314,35.4,5.69,4.29,40.0,0.754,4.32,5.73,40.2,0.913,1501,8,0,2.8,1.2,,,22,10,3.77,
2,V-Tarte,2,run,321,16.8,11.58,8.57,136.9,0.74,8.6,11.73,135.6,0.915,1553,1,2,31.3,7.1,-10.5,-2.4,10,2,8.8,5.85
2,V-Tarte,3,beat,313,28.6,5.56,4.17,40.3,0.751,4.19,5.58,40.4,0.927,1177,5,0,1.7,0.8,,,9,4,3.3,
2,V-Tarte,4,run,313,14.3,11.9,9.0,139.4,0.756,9.28,12.32,138.6,0.858,1256,0,4,,,27.8,5.8,111,23,,7.72
